Offset;UnityPerCamera._Time[0];UnityPerCamera._Time[1];UnityPerCamera._Time[2];UnityPerCamera._Time[3];UnityPerCamera._SinTime[0];UnityPerCamera._SinTime[1];UnityPerCamera._SinTime[2];UnityPerCamera._SinTime[3];UnityPerCamera._CosTime[0];UnityPerCamera._CosTime[1];UnityPerCamera._CosTime[2];UnityPerCamera._CosTime[3];UnityPerCamera._TimeParameters[0];UnityPerCamera._TimeParameters[1];UnityPerCamera._TimeParameters[2];UnityPerCamera._TimeParameters[3];UnityPerCamera.unity_DeltaTime[0];UnityPerCamera.unity_DeltaTime[1];UnityPerCamera.unity_DeltaTime[2];UnityPerCamera.unity_DeltaTime[3];UnityPerCamera._WorldSpaceRelativeCameraPos[0];UnityPerCamera._WorldSpaceRelativeCameraPos[1];UnityPerCamera._WorldSpaceRelativeCameraPos[2];UnityPerCamera._EyeAdaptionExposure;UnityPerCamera._WorldSpaceCameraPos[0];UnityPerCamera._WorldSpaceCameraPos[1];UnityPerCamera._WorldSpaceCameraPos[2];UnityPerCamera._EyeAdaptionInverseExposure;UnityPerCamera._WorldSpaceCameraDir[0];UnityPerCamera._WorldSpaceCameraDir[1];UnityPerCamera._WorldSpaceCameraDir[2];UnityPerCamera._ProjectionParams[0];UnityPerCamera._ProjectionParams[1];UnityPerCamera._ProjectionParams[2];UnityPerCamera._ProjectionParams[3];UnityPerCamera._ScreenParams[0];UnityPerCamera._ScreenParams[1];UnityPerCamera._ScreenParams[2];UnityPerCamera._ScreenParams[3];UnityPerCamera._ZBufferParams[0];UnityPerCamera._ZBufferParams[1];UnityPerCamera._ZBufferParams[2];UnityPerCamera._ZBufferParams[3];UnityPerCamera.unity_OrthoParams[0];UnityPerCamera.unity_OrthoParams[1];UnityPerCamera.unity_OrthoParams[2];UnityPerCamera.unity_OrthoParams[3];UnityPerCamera._PrevCameraPos[0];UnityPerCamera._PrevCameraPos[1];UnityPerCamera._PrevCameraPos[2];UnityPerCamera._ReflectNormalBias;UnityPerCamera._PrevTime[0];UnityPerCamera._PrevTime[1];UnityPerCamera._PrevTime[2];UnityPerCamera._PrevTime[3];UnityPerCamera._SRPTime[0];UnityPerCamera._SRPTime[1];UnityPerCamera._SRPTime[2];UnityPerCamera._SRPTime[3];UnityPerCamera._PaperUnscaledTime[0];UnityPerCamera._PaperUnscaledTime[1];UnityPerCamera._PaperUnscaledTime[2];UnityPerCamera._PaperUnscaledTime[3];UnityPerCamera._FrameCount8
117504;-0.08279864;0.8703558;-0.4854124;1;0;-3.727247;4.164188;50.06334;0.003848815;0.01405239;2.002716e-05;-1;0.007825661;0;0.100002;0;0;0;0;0;0;1.411757;1.176633;0;-0;1.411757;1.176633;-1;0;1;0;-1;0.1;5000;0.0002;0;3.051758e-05;0;3.82571e-24;8.484862e-42;0;0;0;0;0;0;0;0;0;0;0;0;0.007826805;3.125388e-08;0.007824665;0.007826805;0.007826805;4.401158e-09;0.007824323;0;3.091825e-41;0.007826805;0;780874057
117824;0;-1;-7.761287e-09;0;0.603044;0;0.797708;0;-0.797708;7.761287e-09;0.603044;0;-0.003427091;0.949883;-0.004637829;1;-6.19124e-09;0.6030439;-0.7977079;0;-1;-6.19124e-09;-4.680397e-09;4.680397e-09;0.949883;0.005766325;6.300194e-05;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5807843;11.61569;23.23137;34.84706;0;1.438849;1.384469;0;0;0;0;0;0
118144;0.5;0.5;0.023;0.012;0;0;0;0;0;0;0;0;0;0;0;0;-5.343008;0;0;0;0;-3.731461;-3.571554e-07;0;0;0;0.100002;0;0.007826805;0.007826805;0.007826805;0;0;0;0;1;1;-0.023;0;3;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;1;2.152394e-41;0;0;0.65;0.65;0;0;1047233823
118464;0;0;0;0;1;10;0;0;0.529;0;0;1;0;0;0;0;1;1;-0.04;0.012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.343008;0;0;0;0;-3.732051;0;0;-0.0002142245;-0.0003324689;2.002716e-05;-1;0
118784;-0.08279864;0.8703558;-0.4854124;1;5.63697e-08;1.48874;4.164188;50.06334;0.003848815;0.01405239;0;0;0.007825661;1.48874;1.083012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.051758e-05;0;3.41212e-24;8.980922e-42;0;0;0;0;0;0;0;0;0;0;0;0;0.007826805;3.125388e-08;0.007824665;0.007826805;0.007826805;4.401158e-09;0.007824323;0;3.091825e-41;0.007826805;0;780874057
119104;9.828837e-29;0.007819487;1.961818e-41;0.007824398;4.54552e-08;0.007821864;0.007826805;0.007826805;0.007826805;0.007826805;0.007826805;0.007826805;0.01190186;0.007514181;6.829232e-05;2.152394e-41;0.007825851;0.01405998;1.886512e-17;0;0.007826805;0.007826805;0.007826805;0.007826805;3.465397e+18;0;3.465397e+18;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;-3.13;0;0;0;0;0;0;0;0;0;0;0;0;0;1.411757;1.176633;0;0;0;0;0;2147483648
119424;-5.33613;1.294682e-10;7.798864e-12;-3.894144e-07;0;1.438849;1.384469;0;-1;0.1;5000;0.0002;-0;1.438849;1.384469;0;0;0;0;0;0;0;0;-1;0;0;0;-1;0;1;0;3.894144e-07;0;1;0;0;0;0;1;0;-1;-7.761287e-09;0;0.603044;0;0.797708;0;-0.797708;7.761287e-09;0.603044;-0.003427091;-6.19124e-09;0.6030439;-0.7977079;0;-1;-6.19124e-09;-4.680397e-09;0;4.680397e-09;0.7977079;0.603044;0;1064512393
119744;0;0;0;1;1;1;0;0;0;1;0;0;0.948086;0.009415249;-0.0003084038;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.343008;0;0;0;0;-3.731461;-3.571554e-07;0.01783355;0;-0.06635627;2.002398e-05;-0.999841;0
120064;-5.343008;0;0;0;0;-3.732051;0;0;-0.0002142245;-0.0003324689;2.002716e-05;-1;0;0;0.100002;0;2.415565e+07;0.007830677;0.007826805;2.152394e-41;0.007826805;0;0;0;0;0;0;0;0.007826805;2.152394e-41;0.007826805;0;0;0;0;0.12;0.12;-0.065;0;0;0;0;0;1;0;2.152394e-41;0;1;-1;0;0;0;0;0;0;1;10;0;0;0.479;0;0;0;0
120384;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.08279864;0.8703558;-0.4854124;1;0;0;4.164188;50.06334;0.003848815;0.01405239;0;0.007825661;0;0;0;0;5.63697e-08;1.48874;1.083012;0;0;0;0;0;863116067
