Offset;Input Attributes: Layout 3 (Per vertex).POSITION0[0];Input Attributes: Layout 3 (Per vertex).POSITION0[1];Input Attributes: Layout 3 (Per vertex).POSITION0[2];Input Attributes: Layout 3 (Per vertex).NORMAL0[0];Input Attributes: Layout 3 (Per vertex).NORMAL0[1];Input Attributes: Layout 3 (Per vertex).NORMAL0[2];Input Attributes: Layout 3 (Per vertex).TANGENT0[0];Input Attributes: Layout 3 (Per vertex).TANGENT0[1];Input Attributes: Layout 3 (Per vertex).TANGENT0[2];Input Attributes: Layout 3 (Per vertex).TANGENT0[3]
0;-0.5540609;0.078895;1.233084e-05;0.3276629;-0.944531;-0.001317322;0.2067822;0.0732823;-0.9755271;-1
40;-0.552726;0.07942797;1.090666e-05;0.6239119;-0.7814888;-0.000727091;0.1865731;0.1498546;-0.9709377;-1
80;-0.5528648;0.07953866;0.00219581;0.6421561;-0.766557;-0.0003831949;0.2090614;0.1756232;-0.9619909;-1
120;-0.5540723;0.07887587;0.002223083;0.3456093;-0.9364558;-0.05207543;0.1910258;0.1249317;-0.9734325;-1
160;-0.5529206;0.079275;0.00431266;0.6573951;-0.7365074;-0.1593013;0.1345159;0.3227127;-0.9368827;-1
200;-0.5552666;0.07865408;1.243397e-05;0.07587945;-0.9971086;-0.0001629288;0.2184678;0.01678526;-0.9756786;-1
240;-0.5540541;0.07862532;0.004351107;0.3449832;-0.9203072;-0.1816508;0.175719;0.2537894;-0.9509986;-1
280;-0.5552686;0.07858194;0.002220998;0.07601056;-0.9948296;-0.0672113;0.2268905;0.08290444;-0.970362;-1
320;-0.5539572;0.07819118;0.006015663;0.3048911;-0.9015667;-0.3053569;0.1949046;0.3731343;-0.9068737;-1
360;-0.5527866;0.07873864;0.006152632;0.633561;-0.7151757;-0.2951459;0.1136532;0.4633757;-0.8788344;-1
400;-0.5567603;0.07874392;0.002172479;-0.2546006;-0.9633746;-0.08253311;0.2364708;0.02078318;-0.9713823;-1
440;-0.5566882;0.07853012;0.004350199;-0.2601263;-0.949988;-0.1721246;0.250789;0.105685;-0.9622412;-1
480;-0.5567511;0.07881123;1.338171e-05;-0.2751822;-0.9612596;-0.001050326;0.194544;-0.05463659;-0.9793403;-1
520;-0.5582607;0.07973891;3.88542e-06;-0.4665598;-0.8842544;-0.0008874653;0.1480754;-0.0771089;-0.9859306;-1
560;-0.5583293;0.07950442;0.002148612;-0.4206659;-0.9022506;-0.09043802;0.1912926;0.009297967;-0.9814503;-1
600;-0.5584332;0.0792471;0.004400135;-0.3703873;-0.9114388;-0.1780683;0.1894002;0.1136195;-0.975278;-1
640;-0.5585737;0.07881024;0.006899836;-0.3996504;-0.8781893;-0.2622881;0.1814833;0.2047397;-0.9618186;-1
680;-0.5552531;0.07836072;0.004405932;0.08447921;-0.9834256;-0.160367;0.2684698;0.1774691;-0.9467772;-1
720;-0.5552379;0.07798547;0.005959122;0.08426409;-0.954677;-0.283754;0.3070166;0.2958988;-0.9042708;-1
760;-0.5566043;0.07776423;0.00717066;-0.3317381;-0.8975498;-0.2900682;0.2574612;0.2096583;-0.9431698;-1
800;-0.5587413;0.07810384;0.009657906;-0.4657922;-0.8082686;-0.3598545;0.1869573;0.3075897;-0.9328562;-1
840;-0.5551385;0.07747807;0.00748801;0.08173865;-0.9241372;-0.371256;0.2884047;0.378598;-0.8790813;-1
880;-0.5565823;0.07654428;0.009859656;-0.3909002;-0.8286347;-0.4001811;0.2709893;0.3118699;-0.9104427;-1
920;-0.5590168;0.07675749;0.01263992;-0.4954202;-0.7311592;-0.4684488;0.1895056;0.4353254;-0.8798525;-1
960;-0.5537912;0.07763183;0.007637618;0.2734132;-0.8818644;-0.3832478;0.2129979;0.4441551;-0.8700772;-1
1000;-0.5526607;0.07809386;0.007847554;0.6094499;-0.7098297;-0.3531024;0.1330065;0.5306024;-0.8370796;-1
1040;-0.5549681;0.07686195;0.008931478;0.06078333;-0.8989202;-0.4320724;0.3147842;0.428081;-0.8466667;-1
1080;-0.5535977;0.07699792;0.009065866;0.2601345;-0.8542288;-0.4490593;0.2208501;0.5054944;-0.8337994;-1
1120;-0.5525379;0.07744911;0.009241123;0.5918546;-0.6971169;-0.4045979;0.1535305;0.59026;-0.7924188;-1
1160;-0.5548103;0.07613118;0.01033401;0.06354941;-0.8641057;-0.4981883;0.3217618;0.4902657;-0.8096083;-1
1200;-0.5535002;0.07622409;0.01054117;0.2517418;-0.8315744;-0.4949822;0.2514579;0.5500891;-0.7962585;-1
1240;-0.5524228;0.07662621;0.01070856;0.5766705;-0.6938115;-0.4313254;0.2021349;0.6327055;-0.7474911;-1
1280;-0.5546727;0.07530999;0.01166156;0.02827375;-0.8484365;-0.5283614;0.347608;0.5039254;-0.7905838;-1
1320;-0.5534834;0.07542062;0.01179073;0.2652087;-0.817541;-0.5110255;0.2790573;0.5724224;-0.7708965;-1
1360;-0.5523977;0.07581438;0.01206232;0.5595515;-0.7093593;-0.4285905;0.2410911;0.6340879;-0.7346984;-1
1400;-0.5566827;0.07490391;0.01268342;-0.4056087;-0.7579801;-0.5101115;0.3009726;0.4161879;-0.8575542;-1
1440;-0.5569769;0.07326652;0.01491345;-0.3504393;-0.6738493;-0.6497008;0.3173145;0.5672674;-0.7592102;-1
1480;-0.5594568;0.0748314;0.01532623;-0.4727589;-0.6337321;-0.611615;0.158149;0.6218242;-0.7665623;-1
1520;-0.5600599;0.07270299;0.01738927;-0.4159443;-0.5529856;-0.7212638;-0.003169484;0.794067;-0.6070269;-1
1560;-0.5534723;0.07463127;0.01304653;0.3088574;-0.8072364;-0.5025782;0.3332317;0.5868791;-0.7376595;-1
1600;-0.552498;0.07517119;0.01315782;0.5465266;-0.7308623;-0.4088155;0.2993121;0.6264137;-0.7197182;-1
1640;-0.5526334;0.07459009;0.01403393;0.5552548;-0.7288609;-0.4002389;0.3806545;0.6507359;-0.6568528;-1
1680;-0.5546615;0.07447079;0.01286789;0.05721758;-0.8192551;-0.5691858;0.3719162;0.5465415;-0.7495298;-1
1720;-0.5546939;0.07360317;0.01402327;0.04176889;-0.8041614;-0.5922757;0.4263751;0.5507;-0.7169912;-1
1760;-0.5535895;0.07398658;0.01399638;0.3500905;-0.7851669;-0.5100831;0.4274409;0.6187527;-0.6586554;-1
1800;-0.5527697;0.07410605;0.0147648;0.5943163;-0.7200339;-0.3566747;0.4061016;0.6521831;-0.6395836;-1
1840;-0.5537835;0.07335648;0.01482118;0.4355727;-0.7502211;-0.4963011;0.4666009;0.6602429;-0.5879315;-1
1880;-0.5530521;0.07349995;0.01581181;0.6023316;-0.6659426;-0.4395786;0.4910077;0.743548;-0.4535978;-1
1920;-0.5547937;0.07282799;0.0150193;0.01929698;-0.722585;-0.6897517;0.4734014;0.6143059;-0.6298871;-1
1960;-0.5541529;0.07243568;0.01586198;0.356389;-0.6228085;-0.6950592;0.3216349;0.7805348;-0.53438;-1
2000;-0.553054;0.07312149;0.01623843;0.04883602;-0.3351888;-0.9404295;0.3979617;0.8700213;-0.2891386;-1
2040;-0.5549279;0.07139716;0.0164751;-0.09847714;-0.5791156;-0.8081127;0.09388728;0.8025415;-0.5871441;-1
2080;-0.5534611;0.07205516;0.01647503;-0.1208264;-0.3429035;-0.9313027;0.2509474;0.8972154;-0.3626953;-1
2120;-0.5575007;0.07175754;0.01647412;-0.2983155;-0.6184202;-0.7262786;-0.03239257;0.7672104;-0.6396498;-1
2160;-0.5572356;0.06948653;0.01829449;-0.2314899;-0.5231026;-0.819543;0.03126995;0.8381144;-0.5436056;-1
2200;-0.5584297;0.07059152;0.01800533;-0.2685299;-0.521738;-0.8091145;0.07225953;0.8267827;-0.5569619;-1
2240;-0.5606548;0.0702676;0.01901098;-0.2742139;-0.462648;-0.8425435;0.1271539;0.850983;-0.5086702;-1
2280;-0.5614821;0.06711659;0.02095682;-0.2479873;-0.5104178;-0.8228372;0.05399687;0.8407664;-0.5378333;-1
2320;-0.5574162;0.06549387;0.0210925;-0.2469981;-0.5673194;-0.7855518;-0.01359624;0.8126191;-0.5825928;-1
2360;-0.5539699;0.07058421;0.01696273;-0.2256776;-0.4123583;-0.8824402;0.1982125;0.8674525;-0.4560061;-1
2400;-0.5551153;0.06805974;0.01846542;-0.2407123;-0.5182808;-0.8199764;0.04909962;0.8373191;-0.5435371;-1
2440;-0.5538291;0.06456043;0.02082297;-0.2844845;-0.578634;-0.7639135;-0.0847872;0.8088899;-0.5811984;-1
2480;-0.5524148;0.07248478;0.01593142;-0.6125494;-0.3177207;-0.7237452;0.2197535;0.8110918;-0.5420503;-1
2520;-0.5524919;0.07346004;0.01578666;-0.8301741;-0.1230197;-0.5437623;0.2099523;0.834557;-0.5093474;-1
2560;-0.5529048;0.06736648;0.0181661;-0.3034478;-0.5222762;-0.7965927;0.0484769;0.8265098;-0.5603351;-1
2600;-0.5519118;0.07040532;0.01643659;-0.4315884;-0.4013375;-0.8078066;0.2760005;0.793837;-0.5418313;-1
2640;-0.5507333;0.06748518;0.0173273;-0.3081708;-0.5274287;-0.7916653;0.07030822;0.8173063;-0.5718349;-1
2680;-0.550081;0.06352276;0.01993422;-0.3059653;-0.5673634;-0.7645108;-0.03518762;0.8092026;-0.5864469;-1
2720;-0.5494036;0.06613733;0.01801691;-0.1804295;-0.5890242;-0.7876835;-0.04248447;0.8047079;-0.5920654;-1
2760;-0.5485957;0.06913169;0.01533317;-0.3443447;-0.6098726;-0.7130621;0.03335022;0.7506601;-0.659114;-1
2800;-0.5516316;0.07343083;0.0142855;-0.7361875;-0.4058377;-0.5405179;-0.0123155;0.8063874;-0.5904018;-1
2840;-0.5521122;0.07427323;0.01451759;-0.9233603;-0.1865942;-0.3340572;0.010578;0.8590514;-0.5108654;-1
2880;-0.5506551;0.07210137;0.01421767;-0.6247598;-0.4721125;-0.6207918;0.1007092;0.7391821;-0.6650396;-1
2920;-0.5501601;0.0696697;0.01569207;-0.453285;-0.5048999;-0.7340912;0.1448079;0.770537;-0.620123;-1
2960;-0.5494103;0.07188226;0.01324357;-0.4805063;-0.6269354;-0.6118894;8.436665e-05;0.69732;-0.7161954;-1
3000;-0.5480424;0.07133736;0.01273419;-0.4152417;-0.6792282;-0.6035389;-0.08055557;0.6879027;-0.7206857;-1
3040;-0.5514509;0.07420441;0.01326749;-0.7347512;-0.5104201;-0.4440053;-0.2391625;0.8083553;-0.5364484;-1
3080;-0.5519903;0.07509019;0.01356695;-0.9394231;-0.2417614;-0.2377724;-0.1093395;0.8774005;-0.4650286;-1
3120;-0.5502669;0.07287776;0.01303698;-0.6385183;-0.5847415;-0.4981686;-0.08775614;0.698507;-0.7093209;-1
3160;-0.5514556;0.07499362;0.01222578;-0.7481608;-0.5405449;-0.3818274;-0.3135173;0.7964586;-0.5157329;-1
3200;-0.5520027;0.07590507;0.01267332;-0.9635685;-0.2131945;-0.1557035;-0.1220299;0.8809487;-0.4557509;-1
