Offset;Input Attributes: Layout 7 (Per vertex).TEXCOORD3[0];Input Attributes: Layout 7 (Per vertex).TEXCOORD3[1]
0;0.05465299;0.9659613
8;0.05467594;0.9658887
16;0.05453879;0.9658629
24;0.05451655;0.965934
32;0.05440098;0.9658376
40;0.05462724;0.9660456
48;0.05438125;0.9659117
56;0.05447912;0.9660146
64;0.05424893;0.9658853
72;0.05427104;0.9658089
80;0.05445951;0.9660932
88;0.05429119;0.9660493
96;0.05460733;0.9661242
104;0.05457336;0.9662625
112;0.05442846;0.966229
120;0.0542773;0.9661993
128;0.05410808;0.9661722
136;0.05435133;0.9659874
144;0.0542286;0.9659584
152;0.05409098;0.9659947
160;0.05391568;0.9661464
168;0.05411148;0.9659251
176;0.05388367;0.9659365
184;0.05369359;0.9661142
192;0.05412781;0.9658539
200;0.05414724;0.9657834
208;0.0540002;0.9658949
216;0.05401629;0.9658211
224;0.05403239;0.9657603
232;0.0538972;0.9658669
240;0.05391324;0.9657936
248;0.05392504;0.9657338
256;0.05380183;0.9658366
264;0.05381542;0.965768
272;0.05382615;0.9657108
280;0.05371618;0.9658883
288;0.05355239;0.965848
296;0.05347443;0.9660948
304;0.05327386;0.9661106
312;0.05373532;0.9657454
320;0.05374187;0.9656938
328;0.05366635;0.9656792
336;0.05372369;0.9658109
344;0.05364537;0.965786
352;0.0536589;0.9657238
360;0.0536015;0.9656655
368;0.0535875;0.9657035
376;0.05355817;0.9656562
384;0.05356795;0.9657612
392;0.05351073;0.9656714
400;0.05352658;0.9656478
408;0.05341971;0.9657104
416;0.0534963;0.9656488
424;0.05341333;0.9658377
432;0.05316716;0.9658896
440;0.05322492;0.9660212
448;0.05307215;0.9661362
456;0.05281484;0.9661772
464;0.05273151;0.9658891
472;0.05340403;0.9656513
480;0.05314034;0.9656981
488;0.05270284;0.9656426
496;0.0535391;0.9656265
504;0.0535652;0.9656388
512;0.05312896;0.9655507
520;0.05341339;0.9655741
528;0.05312079;0.9654114
536;0.05267262;0.9653753
544;0.05289459;0.9653266
552;0.05316085;0.9652552
560;0.0536164;0.9655909
568;0.05361152;0.9656194
576;0.05358738;0.9655139
584;0.05333656;0.9654139
592;0.05358988;0.9653473
600;0.0533694;0.965167
608;0.05366772;0.9655627
616;0.05366963;0.9655997
624;0.05366057;0.9654853
632;0.05373842;0.9655331
640;0.05374116;0.9655768
648;0.05377978;0.9652637
656;0.05354714;0.9650667
664;0.05373949;0.9654559
672;0.05382848;0.9655033
680;0.05382931;0.9655531
688;0.05383092;0.9654159
696;0.05392396;0.9654691
704;0.0539307;0.9655257
712;0.05395138;0.9651596
720;0.05370921;0.9649527
728;0.05391496;0.9653721
736;0.05402797;0.965418
744;0.05404699;0.9654855
752;0.05410856;0.9650482
760;0.05385578;0.964834
768;0.05400378;0.9653211
776;0.05409348;0.9652683
784;0.05413812;0.9653605
792;0.05417049;0.9654343
800;0.05419022;0.9651997
808;0.0542478;0.9652859
816;0.05429399;0.9653592
824;0.0542556;0.9649121
832;0.05399066;0.9647203
840;0.0542888;0.9651206
848;0.05435342;0.9652001
856;0.05441225;0.9652662
864;0.0543384;0.9648146
872;0.05411488;0.9646043
880;0.05437177;0.965035
888;0.05446178;0.9649283
896;0.05444205;0.9651044
904;0.0545094;0.9651672
912;0.05453759;0.9649898
920;0.05460846;0.9650421
928;0.03935838;0.9658629
936;0.03922117;0.9658887
944;0.03924417;0.9659613
952;0.03938055;0.965934
960;0.03926992;0.9660456
968;0.03949606;0.9658376
976;0.03941798;0.9660146
984;0.03951585;0.9659117
992;0.03943765;0.9660932
1000;0.03960598;0.9660493
1008;0.03928983;0.9661242
1016;0.03932369;0.9662625
1024;0.03946865;0.966229
1032;0.0396198;0.9661993
1040;0.03978908;0.9661722
1048;0.03964818;0.9658853
1056;0.039626;0.9658089
1064;0.03954589;0.9659874
1072;0.03966844;0.9659584
1080;0.03980613;0.9659947
1088;0.03998148;0.9661464
1096;0.03976917;0.9658539
1104;0.03974986;0.9657834
1112;0.03978562;0.9659251
1120;0.04001343;0.9659365
1128;0.04020345;0.9661142
1136;0.03989697;0.9658949
1144;0.03988075;0.9658211
1152;0.03986466;0.9657603
1160;0.03999984;0.9658669
1168;0.03998387;0.9657936
1176;0.03997207;0.9657338
1184;0.04009521;0.9658366
1192;0.04008174;0.965768
1200;0.04007089;0.9657108
1208;0.04018104;0.9658883
1216;0.04034472;0.965848
1224;0.04042268;0.9660948
1232;0.04062319;0.9661106
1240;0.04016173;0.9657454
1248;0.04015517;0.9656938
1256;0.04023075;0.9656792
1264;0.04017341;0.9658109
1272;0.04025185;0.965786
1280;0.04023814;0.9657238
1288;0.04029548;0.9656655
1296;0.04030967;0.9657035
1304;0.04033899;0.9656562
1312;0.0403291;0.9657612
1320;0.04038644;0.9656714
1328;0.04037046;0.9656478
1336;0.0404774;0.9657104
1344;0.04040074;0.9656488
1352;0.04048371;0.9658377
1360;0.04072988;0.9658896
1368;0.04067218;0.9660212
1376;0.04082501;0.9661362
1384;0.04108226;0.9661772
1392;0.04116559;0.9658891
1400;0.04049313;0.9656513
1408;0.0407567;0.9656981
1416;0.0411942;0.9656426
1424;0.04035795;0.9656265
1432;0.04033184;0.9656388
1440;0.04076815;0.9655507
1448;0.04048371;0.9655741
1456;0.04077637;0.9654114
1464;0.04122448;0.9653753
1472;0.04100251;0.9653266
1480;0.04073632;0.9652552
1488;0.0402807;0.9655909
1496;0.04028559;0.9656194
1504;0.04030967;0.9655139
1512;0.04056048;0.9654139
1520;0.04030716;0.9653473
1528;0.0405277;0.965167
1536;0.04022944;0.9655627
